H,Runs_renamed_renamed_renamed,HsHD,Ave_renamed_renamed_renamed,BF_renamed_renamed_renamed,SR_renamed_renamed_renamed,100_renamed_renamed_renamed,50_renamed_renamed_renamed,0_renamed_renamed_renamed,4s_renamed_renamed_renamed,6s_renamed_renamed_renamed
V Kohli,2633,94,52.66,1907,138.07,0,24,2,247,71
R Sharma,2633,118,32.1,1905,138.21,4,19,6,234,120
M Guptill,2436,105,33.36,1810,134.58,2,15,2,215,113
S Malik,2263,75,30.58,1824,124.06,0,7,1,186,61
D Warner,2079,100,30.57,1476,140.85,1,15,5,203,86
E Morgan,2002,91,29.88,1475,135.72,0,11,3,151,96
M Shahzad,1936,118,31.22,1436,134.81,1,12,3,218,72
J Duminy,1934,96,38.68,1532,126.24,0,11,6,138,71
P Stirling,1929,91,29.67,1401,137.68,0,16,8,233,59
M Hafeez,1908,86,24.46,1643,116.12,0,10,6,196,51
A Finch,1878,172,38.32,1200,156.5,2,11,4,182,90
L Taylor,1743,63,25.63,1430,121.88,0,5,5,110,65
U Akmal,1690,94,26.0,1377,122.73,0,8,10,122,55
A Villiers,1672,79,26.12,1237,135.16,0,10,5,140,60
H Masakadza,1662,93,25.96,1418,117.2,0,11,1,151,65
A Hales,1644,116,31.01,1203,136.65,1,8,4,175,55
C Gayle,1627,117,32.54,1139,142.84,2,13,3,138,105
M Dhoni,1617,56,37.6,1282,126.13,0,2,1,116,52
T Iqbal,1613,103,23.04,1383,116.63,1,6,6,174,41
M Samuels,1611,89,29.29,1386,116.23,0,10,0,144,69
S Raina,1605,101,29.18,1190,134.87,1,5,3,145,58
G Maxwell,1576,145,35.02,985,160.0,3,7,1,133,81
S Hasan,1567,84,23.74,1266,123.77,0,9,5,163,33
C Munro,1546,109,30.92,966,160.04,3,9,5,114,100
K Williamson,1505,73,31.35,1236,121.76,0,9,2,158,26
S Dhawan,1504,92,27.85,1173,128.21,0,9,1,166,46
K O'Brien,1504,124,20.6,1124,133.8,1,3,10,117,69
A Shehzad,1471,111,25.8,1282,114.74,1,7,2,157,33
M Mahmudullah,1430,64,23.83,1166,122.64,0,4,2,113,48
S Afridi,1416,54,17.92,944,150.0,0,4,8,103,73
B Azam,1405,97,50.17,1102,127.49,0,12,0,139,20
K Coetzer,1386,89,25.66,1136,122.0,0,6,3,144,45
F Plessis,1363,119,35.86,1006,135.48,1,8,0,126,45
M Nabi,1316,89,22.3,902,145.89,0,4,4,83,78
D Miller,1309,101,29.75,935,140.0,1,2,0,91,57
H Amla,1277,97,33.6,967,132.05,0,8,2,146,26
M Rahim,1265,72,20.07,1060,119.33,0,5,5,110,31
J Buttler,1260,73,26.8,912,138.15,0,7,3,102,53
R Berrington,1247,100,28.34,967,128.95,1,3,6,117,36
G Wilson,1239,65,21.73,1185,104.55,0,3,4,105,20
Y Singh,1177,77,28.02,863,136.38,0,8,1,77,74
M Perera,1171,84,27.88,867,135.06,0,11,0,114,41
N Perera,1169,61,23.85,767,152.41,0,3,8,87,62
A Afghan,1167,62,20.83,1102,105.89,0,3,4,69,58
K Rahul,1138,110,43.76,777,146.46,2,8,1,102,50
B Cooper,1094,91,28.05,890,122.92,0,7,5,96,36
W Porterfield,1079,72,20.35,971,111.12,0,3,5,120,23
K Pollard,1058,68,23.0,819,129.18,0,4,1,69,61
A Mathews,1055,81,27.05,893,118.14,0,5,1,67,35
C MacLeod,1042,74,26.05,905,115.13,0,7,4,93,21
Q Kock,1018,79,30.84,787,129.35,0,4,3,117,32
L Simmons,990,82,24.14,848,116.74,0,6,6,92,37
K Akmal,987,73,21.0,825,119.63,0,5,7,100,31
H Munsey,987,127,29.9,640,154.21,1,5,4,114,45
S Shinwari,985,61,21.88,829,118.81,0,2,2,73,37
S Anwar,971,117,33.48,770,126.1,1,6,1,75,43
S Rahman,946,80,24.89,783,120.81,0,4,2,89,28
N Zadran,918,69,30.6,663,138.46,0,3,1,60,48
J Root,893,90,35.72,707,126.3,0,5,2,92,16
M O'Dowd,866,69,26.24,718,120.61,0,6,0,83,19
E Chigumbura,852,54,19.36,597,142.71,0,3,6,58,51
E Lewis,833,125,30.85,544,153.12,2,5,3,54,67
S Williams,821,66,24.87,630,130.31,0,6,4,75,24
B Taylor,818,75,24.78,678,120.64,0,5,5,81,23
S Ahmed,812,89,28.0,641,126.67,0,3,2,79,15
L Chandimal,800,58,18.6,766,104.43,0,4,0,73,16
W Barresi,799,75,22.82,695,114.96,0,4,3,69,21
S Sarkar,791,51,17.19,648,122.06,0,1,8,81,28
A Balbirnie,790,83,25.48,593,133.22,0,4,3,94,12
P Khadka,777,106,29.88,602,129.06,1,4,3,79,26
A Fletcher,765,84,21.25,707,108.2,0,6,6,54,37
F Zaman,756,91,22.9,553,136.7,0,4,2,86,22
M Cross,755,66,26.03,593,127.31,0,5,3,77,22
J Roy,743,78,23.21,512,145.11,0,4,4,75,35
S Myburgh,741,71,24.7,635,116.69,0,5,6,82,22
C Kapugedera,703,50,22.67,591,118.95,0,1,0,58,25
M Usman,695,89,25.74,593,117.2,0,3,3,61,21
C Obuya,691,75,25.59,649,106.47,0,4,3,47,17
T Ura,671,107,37.27,476,140.96,1,4,0,54,31
P Borren,638,57,19.33,524,121.75,0,1,2,60,18
D Ramdin,636,55,18.7,551,115.42,0,1,3,51,19
C Chibhabha,621,67,19.4,570,108.94,0,5,3,72,12
M Waller,613,68,26.65,443,138.37,0,1,2,42,28
R Mustafa,605,77,16.8,521,116.12,0,2,4,71,17
J Bairstow,603,68,26.21,450,134.0,0,3,2,56,25
J Singh,599,68,26.04,535,111.96,0,3,1,63,6
R Hendricks,593,74,26.95,487,121.76,0,4,2,71,8
D Short,592,76,32.88,490,120.81,0,4,1,66,15
M Pandey,587,79,39.13,478,122.8,0,2,2,40,16
D Sammy,587,42,17.26,398,147.48,0,0,3,45,31
P Collingwood,583,79,18.8,459,127.01,0,3,3,37,24
S Smith,577,90,27.47,448,128.79,0,4,1,53,12
N Khan,576,62,18.0,478,120.5,0,2,4,51,19
Z Maqsood,542,56,25.8,481,112.68,0,2,2,66,12
B Hayat,541,122,27.05,433,124.94,1,2,2,45,20
K Sadiq,538,72,14.94,493,109.12,0,1,4,61,10
R Doeschate,533,59,44.41,400,133.25,0,3,1,27,19
R Patel,526,55,23.9,414,127.05,0,3,1,31,31
H Zazai,519,162,43.25,319,162.69,1,2,1,46,37
F Behardien,518,64,32.37,404,128.21,0,1,1,37,16
N Zadran,506,63,26.63,497,101.81,0,3,1,45,6
N Mangal,505,65,18.03,453,111.47,0,2,4,42,19
L Das,497,61,19.88,360,138.05,0,2,2,44,22
S Shafiqullah,494,51,16.46,340,145.29,0,1,5,35,31
C Anderson,485,94,24.25,351,138.17,0,2,3,30,26
G Malla,482,107,20.95,389,123.9,1,1,1,46,21
C Grandhomme,479,59,19.95,321,149.22,0,3,3,27,29
T Visee,478,78,17.7,316,151.26,0,3,4,65,17
M Chapman,475,63,22.61,416,114.18,0,1,0,38,13
G Bailey,473,63,24.89,346,136.7,0,2,1,37,20
B Mendis,473,79,19.7,353,133.99,0,5,2,40,21
G Naib,472,56,17.48,393,120.1,0,1,3,33,22
A Russell,465,47,17.88,329,141.33,0,0,6,30,32
P Seelaar,464,96,16.0,423,109.69,0,1,1,31,8
C Ervine,461,68,23.05,454,101.54,0,3,1,43,13
A Vala,460,68,23.0,427,107.72,0,2,0,39,13
D Malan,458,103,57.25,293,156.31,1,5,0,47,20
R Merwe,454,75,26.7,345,131.59,0,2,4,36,13
K Ali,453,50,16.17,482,93.98,0,1,2,48,12
M Gunathilaka,452,57,21.52,365,123.83,0,2,0,49,12
R Shahzad,449,54,24.94,404,111.13,0,1,2,37,13
U Ghani,445,73,24.72,407,109.33,0,3,0,44,12
N Kumar,434,83,31.0,336,129.16,0,3,1,34,13
M Shanaka,434,54,15.5,386,112.43,0,1,7,29,24
N Dickwella,429,68,19.5,309,138.83,0,1,2,57,8
M Tanveer,428,57,38.9,331,129.3,0,4,0,36,22
S Aziz,415,87,34.58,297,139.73,0,4,2,43,16
R Pant,409,65,20.45,336,121.72,0,2,3,28,18
A Ilyas,408,60,22.66,356,114.6,0,2,1,47,7
T David,408,77,37.09,274,148.9,0,2,0,36,17
M Erasmus,407,72,37.0,293,138.9,0,4,0,33,20
W Tharanga,407,47,16.28,330,123.33,0,0,3,42,12
S Raza,406,59,13.53,384,105.72,0,1,0,34,8
K Karthik,399,48,33.25,278,143.52,0,0,2,42,15
R Cheema,389,72,17.68,314,123.88,0,2,5,33,28
S Baard,387,92,35.18,305,126.88,0,4,1,32,13
A Obanda,381,79,14.65,362,105.24,0,1,5,49,7
C Amini,377,60,26.92,324,116.35,0,2,2,16,13
M Mortaza,377,36,13.46,277,136.1,0,0,6,28,23
J Rasu,374,74,28.76,338,110.65,0,2,0,27,16
H Talat,371,63,28.53,309,120.06,0,2,1,35,5
J Jenner,365,71,24.33,299,122.07,0,3,2,24,14
P Moor,364,92,24.26,286,127.27,0,1,0,22,24
N Dhaliwal,361,69,40.11,291,124.05,0,3,0,22,16
L Ronchi,359,51,17.95,256,140.23,0,1,5,30,14
R Sandaruwan,358,103,39.77,216,165.74,1,2,2,29,24
S Bau,356,40,25.42,338,105.32,0,0,1,21,11
K Shah,351,79,18.47,340,103.23,0,2,3,26,10
S Billings,348,87,17.4,255,136.47,0,2,1,33,11
S Chandramohan,348,66,31.63,292,119.17,0,3,3,33,15
D Bravo,340,43,20.0,317,107.25,0,0,3,28,13
J Vince,340,59,28.33,275,123.63,0,1,0,34,9
N Davin,335,54,22.33,216,155.09,0,1,1,33,15
S Edwards,334,42,23.85,229,145.85,0,0,1,33,6
A Ali,331,41,18.38,258,128.29,0,0,1,15,19
F Javed,330,61,22.0,212,155.66,0,2,1,45,11
S Thompson,328,56,14.9,254,129.13,0,1,1,23,14
A Kaleem,325,46,18.05,306,106.2,0,0,4,26,9
A Rath,321,44,18.88,344,93.31,0,0,1,31,2
N Vanua,321,54,22.92,211,152.13,0,1,4,12,23
T Head,319,48,26.58,245,130.2,0,0,0,19,10
T Seifert,316,84,18.58,228,138.59,0,1,2,22,21
B Stevens,316,44,19.75,315,100.31,0,0,1,30,6
G Delany,314,89,26.16,206,152.42,0,2,0,28,12
N Nipiko,312,62,26.0,297,105.05,0,2,1,16,13
N Pooran,312,58,24.0,247,126.31,0,2,1,24,17
R Powell,311,54,20.73,250,124.4,0,2,1,26,13
V Singh,311,57,25.91,309,100.64,0,1,1,27,7
C Brathwaite,310,37,14.76,274,113.13,0,0,3,13,22
H Pandya,310,33,16.31,210,147.61,0,0,2,18,19
S Vesawkar,310,40,23.84,313,99.04,0,0,0,25,7
N Ferraby,303,81,23.3,257,117.89,0,1,2,38,2
T Sajjad,301,68,33.44,216,139.35,0,1,1,24,14
L Siaka,296,39,14.8,271,109.22,0,0,4,26,7
K Khan,295,52,22.69,220,134.09,0,2,0,26,17
R Mutumbami,294,54,19.6,251,117.13,0,1,1,19,15
B Bhandari,292,58,17.17,262,111.45,0,2,1,23,12
C Lynn,291,44,19.4,221,131.67,0,0,1,28,14
D Airee,287,47,20.5,260,110.38,0,0,0,22,6
I Karim,286,71,22.0,299,95.65,0,2,2,30,2
M Shahzad,281,52,15.61,239,117.57,0,1,2,25,11
T Bruce,279,59,21.46,222,125.67,0,2,0,24,7
S Hetmyer,279,56,16.41,223,125.11,0,1,2,19,17
T Siriwardana,275,42,17.18,208,132.21,0,0,4,16,12
A Javed,271,76,18.06,242,111.98,0,1,1,17,15
R Singh,266,101,33.25,177,150.28,1,1,1,13,19
P Matautaava,265,103,26.5,156,169.87,1,1,2,19,20
S Taylor,265,72,37.85,207,128.01,0,2,1,28,10
M Santner,263,37,15.47,205,128.29,0,0,3,22,7
I Wasim,261,47,13.05,180,145.0,0,0,6,28,7
D Rawlins,261,63,23.72,201,129.85,0,1,1,23,15
A Idrees,259,80,43.16,157,164.96,0,3,0,35,9
N Tarakai,258,90,21.5,210,122.85,0,1,1,21,13
D Silva,257,62,19.76,252,101.98,0,1,0,18,4
M Singh,255,42,23.18,222,114.86,0,0,0,15,5
R Burl,254,57,25.4,221,114.93,0,1,0,16,10
H Dussen,254,64,31.75,192,132.29,0,2,1,14,12
W Barkat,254,37,14.11,286,88.81,0,0,2,20,0
S Mire,253,94,31.62,196,129.08,0,2,0,23,13
G Dockrell,251,34,13.21,207,121.25,0,0,4,14,7
C Williams,249,68,27.66,210,118.57,0,1,1,15,10
J Kotze,245,101,22.27,193,126.94,1,0,1,21,13
M Rishwan,245,67,24.5,245,100.0,0,2,0,22,10
C Ackermann,243,43,30.37,196,123.97,0,0,0,18,5
M Kashif,242,53,48.4,215,112.55,0,2,0,14,13
M Leask,240,58,12.0,199,120.6,0,1,2,16,12
S Poynter,240,39,16.0,213,112.67,0,0,0,22,6
A Khan,239,31,11.95,234,102.13,0,0,4,19,4
A Ahmed,238,75,19.83,185,128.64,0,3,2,32,6
S Hope,238,55,21.63,175,136.0,0,2,1,24,10
M Ali,235,72,14.68,198,118.68,0,1,6,21,9
F Couana,233,71,38.83,179,130.16,0,1,0,16,14
H Tector,233,60,25.88,176,132.38,0,1,0,20,5
B Stokes,232,38,15.46,178,130.33,0,0,1,20,9
H Gori,231,66,33.0,176,131.25,0,1,0,23,12
M Rizlan,229,38,32.71,218,105.04,0,0,0,14,10
R Gurbaz,227,79,32.42,164,138.41,0,2,2,19,13
C Bisson,226,54,18.83,177,127.68,0,1,3,24,5
S Iyer,226,62,22.6,178,126.96,0,1,1,18,9
I Udana,226,84,22.6,152,148.68,0,1,2,15,13
D Gunaratne,225,84,25.0,178,126.4,0,2,2,19,6
I Inam-ul-Haq,225,73,25.0,205,109.75,0,1,1,28,2
G Jayasuriya,225,40,16.07,203,110.83,0,0,0,17,8
S Sharif,225,53,22.5,171,131.57,0,1,2,32,5
C Walton,225,40,13.23,203,110.83,0,0,5,23,11
D Blampied,221,43,24.55,222,99.54,0,0,1,14,0
T Southee,220,39,12.22,150,146.66,0,0,4,14,15
C Jordan,216,36,15.42,166,130.12,0,0,2,16,11
M Rippon,216,42,30.85,192,112.5,0,0,2,15,3
K Kulasekara,215,31,10.23,184,116.84,0,0,4,14,7
E Munaweera,215,53,17.91,164,131.09,0,1,1,25,7
B Ward,215,58,23.88,160,134.37,0,1,1,8,15
S Prasanna,214,37,15.28,161,132.91,0,0,0,13,13
S Wickramasekara,214,104,71.33,104,205.76,1,1,0,17,19
H Arshad,211,68,30.14,154,137.01,0,1,0,15,7
H Sohail,210,52,19.09,204,102.94,0,2,1,16,3
K Nawaz,210,58,21.0,179,117.31,0,1,0,11,10
B Zalmai,208,111,69.33,109,190.82,1,0,0,16,16
G Shabber,208,58,18.9,182,114.28,0,1,0,24,4
B Perera,208,67,34.66,144,144.44,0,1,0,23,8
B Mendis,207,43,18.81,174,118.96,0,0,1,18,6
J Smit,206,59,25.75,128,160.93,0,1,0,10,14
A Faiz,202,45,22.44,179,112.84,0,0,0,14,6
J Butler,201,65,28.71,214,93.92,0,1,0,20,1
K Leverock,201,43,20.1,165,121.81,0,0,3,16,11
D Gondaria,199,85,28.42,157,126.75,0,1,0,12,6
R Panchal,199,71,39.8,185,107.56,0,1,0,9,7
S Kami,198,40,15.23,176,112.5,0,0,1,15,7
S Tanvir,196,41,11.52,164,119.51,0,0,2,16,9
Y Ali,196,57,32.66,183,107.1,0,1,1,11,9
A Sheikh,194,39,24.25,181,107.18,0,0,0,18,4
S Davizi,192,101,96.0,133,144.36,1,1,0,14,10
R Rohan,191,49,19.1,156,122.43,0,0,1,23,6
A Hassan,189,53,18.9,192,98.43,0,1,0,18,2
J Neesham,185,42,16.81,131,141.22,0,0,1,19,8
U Adam,185,53,20.55,149,124.16,0,1,1,19,6
X Marshall,183,36,14.07,185,98.91,0,0,2,13,6
M Hossain,183,34,20.33,173,105.78,0,0,1,10,5
M Rizwan,180,33,16.36,184,97.82,0,0,1,14,2
C Tommy,180,47,16.36,191,94.24,0,0,2,6,8
C Meschede,179,67,44.75,115,155.65,0,1,1,9,14
K Shah,176,72,29.33,170,103.52,0,1,1,21,4
M Naveed,176,27,12.57,147,119.72,0,0,3,17,8
M Marsh,175,36,21.87,151,115.89,0,0,0,7,9
K KC,173,40,15.72,126,137.3,0,0,2,9,12
N Sarwar,172,47,57.33,128,134.37,0,0,1,16,6
H Shah,172,40,21.5,168,102.38,0,0,0,18,2
G Elliott,171,27,15.54,157,108.91,0,0,0,12,2
S Singh,169,57,11.26,144,117.36,0,1,5,12,6
D Willey,166,29,13.83,126,131.74,0,0,1,8,10
T Sharma,164,49,23.42,160,102.5,0,0,1,12,6
R Jadeja,163,25,11.64,165,98.78,0,0,2,7,4
T Latham,163,39,16.3,157,103.82,0,0,0,12,2
P Hennessy,162,71,23.14,132,122.72,0,1,1,11,7
N Param,160,72,32.0,118,135.59,0,1,0,12,6
R Chakabva,159,48,14.45,134,118.65,0,0,4,12,7
J Faulkner,159,41,14.45,138,115.21,0,0,0,7,5
M Henriques,159,62,31.8,122,130.32,0,2,0,8,7
A Mansale,159,38,11.35,151,105.29,0,0,4,14,5
M Arief,159,52,39.75,114,139.47,0,1,0,18,4
H Carlyon,156,50,19.5,131,119.08,0,1,1,21,3
H Klaasen,156,69,22.28,107,145.79,0,1,0,8,11
S Narine,155,30,10.33,138,112.31,0,0,2,13,5
N Greenwood,154,43,19.25,128,120.31,0,0,1,15,2
M Adair,152,38,15.2,118,128.81,0,0,1,8,7
N Collins,151,56,30.2,164,92.07,0,2,0,10,0
H Rutherford,151,62,21.57,105,143.8,0,1,1,12,9
N Coulter-Nile,150,34,13.63,120,125.0,0,0,3,10,10
I Ahmed,150,62,75.0,104,144.23,0,1,0,14,4
R Khan,149,33,13.54,124,120.16,0,0,4,9,9
V Chikkannaiah,148,70,24.66,167,88.62,0,1,0,10,2
W Fernando,148,37,14.8,156,94.87,0,0,1,9,3
O Bascome,147,37,13.36,147,100.0,0,0,1,12,8
C Wallace,146,27,18.25,122,119.67,0,0,1,14,2
K Janat,145,26,13.18,140,103.57,0,0,2,11,6
W Riaz,145,30,13.18,118,122.88,0,0,2,10,6
M Klinger,143,62,47.66,112,127.67,0,1,0,12,2
M Naim,143,81,47.66,107,133.64,0,1,0,17,3
E Khan,142,42,35.5,128,110.93,0,0,0,9,7
K Paul,142,29,20.28,123,115.44,0,0,0,8,8
U Amin,142,47,15.77,123,115.44,0,0,3,15,4
F Afzal,141,59,20.14,140,100.71,0,1,0,11,6
S Ali,141,59,35.25,87,162.06,0,1,0,17,8
S Periyalwar,140,105,70.0,91,153.84,1,0,1,15,6
G Phillips,140,56,15.55,140,100.0,0,1,0,9,5
S Pokhriyal,140,79,35.0,131,106.87,0,1,0,23,2
R Shah,140,53,70.0,108,129.62,0,1,0,8,8
A Douglas,138,47,17.25,131,105.34,0,0,0,10,8
L Ferbrache,138,55,17.25,142,97.18,0,1,0,6,3
H Patel,137,44,27.4,104,131.73,0,0,0,17,3
R Tari,137,28,15.22,117,117.09,0,0,2,6,5
Y Ebrahim,137,72,68.5,97,141.23,0,1,0,14,5
M Stoinis,136,33,15.11,117,116.23,0,0,1,14,2
F Khan,134,83,44.66,56,239.28,0,1,1,13,10
N Pathan,134,54,44.66,106,126.41,0,1,0,8,7
F Ashraf,133,21,11.08,110,120.9,0,0,4,7,8
C Morris,133,55,14.77,102,130.39,0,1,3,12,5
A Ahmed,131,102,65.5,101,129.7,1,0,0,6,6
P Rajapaksa,131,77,32.75,95,137.89,0,1,0,7,9
D D'Silva,130,29,32.5,146,89.04,0,0,1,9,0
S McKechnie,130,44,18.57,137,94.89,0,0,1,9,1
C Mutombodzi,129,32,14.33,133,96.99,0,0,2,9,2
